hour,cea,cea_oven
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,1.1386751814792586e-05,1.1586221510895849e-05
6,6.791756025096042e-05,6.774026400667241e-05
7,0.00015696499892725805,0.0001554302418558415
8,0.00026596639377311434,0.0002627128818225558
9,0.00037204735438446467,0.0003679957992728707
10,0.0004636560207698761,0.0004581630685802761
11,0.0005280030958552379,0.0005218620810447356
12,0.0005542278804683119,0.0005468904411705891
13,0.0005386217432960907,0.0005295039306967724
14,0.0004808109326365792,0.00047213610191965995
15,0.0003888903012562503,0.00038063237923442413
16,0.0002748465694325969,0.0002682437583992371
17,0.00015250426686901032,0.000148256041769517
18,4.9606446916833516e-05,4.8429440265316906e-05
19,4.297920175485336e-06,4.238331130677817e-06
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
