hour,cea,cea_oven
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.0477400504118047e-06,2.0872680406674688e-06
6,2.2201535469031247e-05,2.23917384204008e-05
7,7.746482338428107e-05,7.746779423291362e-05
8,0.00015867928113645714,0.0001573732863467131
9,0.00024414916388446203,0.00024159125789490556
10,0.0003166303004856906,0.000312792009506601
11,0.00036635213823396054,0.0003612595492188658
12,0.00038316321664372163,0.00037736277901948863
13,0.0003646528481806966,0.0003583945681219003
14,0.00031452646160264465,0.0003087598142600476
15,0.0002360619531134913,0.0002311811719499846
16,0.00013998261297711156,0.00013675274690206856
17,5.445904899758965e-05,5.310527710027775e-05
18,9.798278489210801e-06,9.624437695684055e-06
19,4.403953554936913e-07,4.3370228832067176e-07
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
