season,hour,cea,cea_oven
winter,0,0.0,0.0
winter,1,0.0,0.0
winter,2,0.0,0.0
winter,3,0.0,0.0
winter,4,0.0,0.0
winter,5,0.0,0.0
winter,6,0.0,0.0
winter,7,0.00190796337274092,0.0020196920653892765
winter,8,0.03842253409071561,0.03964090582127902
winter,9,0.08695761502043023,0.08733335005555548
winter,10,0.1326984141723008,0.1329499177621828
winter,11,0.1638025251762044,0.16365776985289326
winter,12,0.17547148471638266,0.17513459947358992
winter,13,0.16274694166725467,0.162095618237051
winter,14,0.12736570177292342,0.12685209747055512
winter,15,0.07827058175944053,0.07789715092095555
winter,16,0.028431181062944053,0.028473859207160213
winter,17,0.003925057188662639,0.003945039133388408
winter,18,0.0,0.0
winter,19,0.0,0.0
winter,20,0.0,0.0
winter,21,0.0,0.0
winter,22,0.0,0.0
winter,23,0.0,0.0
summer,0,0.0,0.0
summer,1,0.0,0.0
summer,2,0.0,0.0
summer,3,0.0,0.0
summer,4,0.0,0.0
summer,5,0.002642092110507566,0.002730139079424727
summer,6,0.015759055174177732,0.015962092718600628
summer,7,0.03642092073637928,0.03662507030578479
summer,8,0.06171274495815084,0.06190479826899494
summer,9,0.08632693464673896,0.08671331820421296
summer,10,0.1075830872921801,0.10796003659205368
summer,11,0.12251367524058089,0.12296986210648472
summer,12,0.1285986674888548,0.12886746245955089
summer,13,0.12497754246838437,0.1247705623912491
summer,14,0.11156357778118671,0.11125259615015684
summer,15,0.09023503923806499,0.08969096028977086
summer,16,0.06377323090104653,0.06320807581045426
summer,17,0.03538588764092289,0.03493456542455147
summer,18,0.011510288812917772,0.011411753809355912
summer,19,0.0009972555099066192,0.0009987063893542984
summer,20,0.0,0.0
summer,21,0.0,0.0
summer,22,0.0,0.0
summer,23,0.0,0.0
midseason,0,0.0,0.0
midseason,1,0.0,0.0
midseason,2,0.0,0.0
midseason,3,0.0,0.0
midseason,4,0.0,0.0
midseason,5,0.0007610691271291412,0.0007874767361561301
midseason,6,0.008251488374681287,0.00844787192857145
midseason,7,0.028790805505040394,0.029226761762826372
midseason,8,0.05897521121573672,0.05937320913074184
midseason,9,0.09074120077372237,0.09114665272702216
midseason,10,0.11767975450045634,0.11800900791984878
midseason,11,0.1361595198626396,0.13629466133783327
midseason,12,0.14240757501440218,0.14237002808416332
midseason,13,0.13552795669262485,0.13521377190754508
midseason,14,0.11689783551519102,0.11648775626914012
midseason,15,0.08773548408563171,0.08721917415534244
midseason,16,0.052026352197542446,0.05159356857509071
midseason,17,0.020240411314191756,0.020035361759393692
midseason,18,0.003641657179900472,0.0036310721173652806
midseason,19,0.00016367864110969935,0.00016362558895933297
midseason,20,0.0,0.0
midseason,21,0.0,0.0
midseason,22,0.0,0.0
midseason,23,0.0,0.0
