hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.321856578577783e-13,2.321856578577783e-13
6,1.125576140649316e-06,3.7156851130850285e-06
7,2.4926271886249468e-05,5.483745337814922e-05
8,0.00012714558099735228,0.0001778658968154125
9,0.00022643023931928643,0.00029652963215064056
10,0.00029356333064829254,0.0003836288044154153
11,0.00033563175099646654,0.00043915073540283766
12,0.0003474278393194925,0.0004550709021504675
13,0.00032962022645512714,0.000431568847694691
14,0.0002845034861243479,0.0003730183666733235
15,0.00021127312616334908,0.00027928673088865495
16,0.00011566303270550715,0.00015888581089456896
17,3.604584274250156e-05,5.4573894198332175e-05
18,2.243918608631157e-06,4.9071551856044094e-06
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
