hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.330997397035418e-12,2.832671141255044e-12
6,1.035749273684885e-05,1.9616687618579907e-05
7,7.170650816289377e-05,0.00011660273277121181
8,0.0001991206724739485,0.0002265418959976846
9,0.0003250320712525518,0.00033493470110926613
10,0.00042440326466264527,0.00042037452090786995
11,0.0004908723575563445,0.0004774068263634594
12,0.0005179783997182143,0.0004986425308357893
13,0.0005045018558984127,0.00048408136327871346
14,0.00045161445296221844,0.0004340586164587128
15,0.00036130275482874625,0.00035122253925042637
16,0.00024375493023150527,0.0002452917036175067
17,0.00011764334726900111,0.00012830710744046527
18,2.2963242535565494e-05,3.162244706288652e-05
19,5.5913229607044335e-11,8.481162006515403e-09
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
