1	1	1	0	0
1	1	2	0	0
1	1	3	0	0
1	1	4	0	0
1	1	5	0	0
1	1	6	0	0
1	1	7	0	0
1	1	8	13	8
1	1	9	57	38
1	1	10	138	91
1	1	11	331	127
1	1	12	269	168
1	1	13	289	171
1	1	14	217	141
1	1	15	152	100
1	1	16	79	52
1	1	17	26	14
1	1	18	0	0
1	1	19	0	0
1	1	20	0	0
1	1	21	0	0
1	1	22	0	0
1	1	23	0	0
1	1	24	0	0
1	2	1	0	0
1	2	2	0	0
1	2	3	0	0
1	2	4	0	0
1	2	5	0	0
1	2	6	0	0
1	2	7	0	0
1	2	8	24	16
1	2	9	29	21
1	2	10	131	93
1	2	11	197	139
1	2	12	194	137
1	2	13	282	184
1	2	14	197	139
1	2	15	137	97
1	2	16	32	23
1	2	17	19	13
1	2	18	0	0
1	2	19	0	0
1	2	20	0	0
1	2	21	0	0
1	2	22	0	0
1	2	23	0	0
1	2	24	0	0
1	3	1	0	0
1	3	2	0	0
1	3	3	0	0
1	3	4	0	0
1	3	5	0	0
1	3	6	0	0
1	3	7	0	0
1	3	8	33	14
1	3	9	95	71
1	3	10	143	106
1	3	11	183	136
1	3	12	223	166
1	3	13	195	145
1	3	14	124	92
1	3	15	38	29
1	3	16	11	8
1	3	17	28	16
1	3	18	0	0
1	3	19	0	0
1	3	20	0	0
1	3	21	0	0
1	3	22	0	0
1	3	23	0	0
1	3	24	0	0
1	4	1	0	0
1	4	2	0	0
1	4	3	0	0
1	4	4	0	0
1	4	5	0	0
1	4	6	0	0
1	4	7	0	0
1	4	8	27	17
1	4	9	78	59
1	4	10	167	126
1	4	11	126	95
1	4	12	105	79
1	4	13	156	118
1	4	14	110	83
1	4	15	124	93
1	4	16	85	65
1	4	17	25	17
1	4	18	0	0
1	4	19	0	0
1	4	20	0	0
1	4	21	0	0
1	4	22	0	0
1	4	23	0	0
1	4	24	0	0
1	5	1	0	0
1	5	2	0	0
1	5	3	0	0
1	5	4	0	0
1	5	5	0	0
1	5	6	0	0
1	5	7	0	0
1	5	8	31	20
1	5	9	151	91
1	5	10	269	137
1	5	11	403	115
1	5	12	466	108
1	5	13	466	108
1	5	14	403	115
1	5	15	291	114
1	5	16	157	85
1	5	17	32	19
1	5	18	0	0
1	5	19	0	0
1	5	20	0	0
1	5	21	0	0
1	5	22	0	0
1	5	23	0	0
1	5	24	0	0
1	6	1	0	0
1	6	2	0	0
1	6	3	0	0
1	6	4	0	0
1	6	5	0	0
1	6	6	0	0
1	6	7	0	0
1	6	8	35	18
1	6	9	143	93
1	6	10	293	109
1	6	11	405	109
1	6	12	465	106
1	6	13	436	139
1	6	14	387	129
1	6	15	293	109
1	6	16	151	88
1	6	17	35	18
1	6	18	0	0
1	6	19	0	0
1	6	20	0	0
1	6	21	0	0
1	6	22	0	0
1	6	23	0	0
1	6	24	0	0
1	7	1	0	0
1	7	2	0	0
1	7	3	0	0
1	7	4	0	0
1	7	5	0	0
1	7	6	0	0
1	7	7	0	0
1	7	8	26	20
1	7	9	41	33
1	7	10	128	103
1	7	11	237	184
1	7	12	324	208
1	7	13	467	95
1	7	14	395	109
1	7	15	161	129
1	7	16	146	83
1	7	17	35	16
1	7	18	0	0
1	7	19	0	0
1	7	20	0	0
1	7	21	0	0
1	7	22	0	0
