area_id,building_name,status,validation_area_m2,ucea_roofs_top_m2,workflow0_roofs_top_m2,validation_radiation_kwh_year,ucea_radiation_kwh_year,workflow0_radiation_kwh_year,error_cea,error_cea_oven,workflow0_source_column,workflow0_timesteps,validation_point_count,residential_source,use_type1,use_type2,use_type3,resi_type,ucea_source_column,ucea_timesteps,ucea_oven_confidence_face_count,ucea_oven_confidence_mean,ucea_oven_confidence_area_weighted_mean,ucea_oven_confidence_min,ucea_oven_confidence_max
Alameda_Arro,B1044,matched,184.820017,188.48,181.9,352882.0968,323095,315694.98,-0.105381138,-0.084410904,roofs_top_kW,8760,305,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.928760469,0.927525267,0.892683566,0.964837372
Alameda_Arro,B1045,matched,290.4725865,292.44,290.4,681216.5028,498722.18,484384.68,-0.288941654,-0.267894747,roofs_top_kW,8760,478,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.986941059,0.987603348,0.982194066,0.99107492
Alameda_Arro,B1046,matched,204.1546035,199.93,207.94,495092.9733,352528.7,332659.74,-0.328086323,-0.287954548,roofs_top_kW,8760,335,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.660434584,0.655414657,0.492635369,0.947616577
Alameda_Arro,B1047,matched,117.5345589,117.61,117.61,289109.371,157619.24,162148.59,-0.439144468,-0.454811031,roofs_top_kW,8760,193,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1050,matched,217.8965606,222.2,223.55,464766.5748,398563.88,385705.11,-0.170110049,-0.142442891,roofs_top_kW,8760,359,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.768875231,0.666455247,0.49239102,0.928636432
Alameda_Arro,B1052,matched,252.9504383,258.22,252.94,526511.13,434431.26,435435.4,-0.172979686,-0.174886844,roofs_top_kW,8760,419,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.745897134,0.736769388,0.60391587,0.99314028
Alameda_Arro,B1053,matched,179.8750021,183.93,180.31,435206.8949,307577.09,305474.44,-0.298093749,-0.293262369,roofs_top_kW,8760,294,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.871823341,0.877818684,0.817839324,0.925807357
Alameda_Arro,B1055,matched,253.2805486,259.87,253.29,502390.7485,405240.12,401359.81,-0.201100316,-0.193376627,roofs_top_kW,8760,417,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.838476121,0.886506408,0.694088101,0.982864141
Alameda_Arro,B1057,matched,408.5236671,422.56,408.5,766509.7236,713826.72,706933.35,-0.077724224,-0.068731031,roofs_top_kW,8760,670,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.883186162,0.88152007,0.804052413,0.962319911
Alameda_Arro,B1058,matched,164.2568758,168.81,160.62,352502.2897,282269.09,277128.65,-0.213824539,-0.199241826,roofs_top_kW,8760,272,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.905216634,0.89049872,0.81782943,0.992603838
Alameda_Arro,B1059,matched,84.37798491,85.94,84.31,116248.0792,103250.3,107426.37,-0.075886925,-0.111810701,roofs_top_kW,8760,136,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.920825779,0.91239335,0.842544138,0.99910742
Alameda_Arro,B1060,matched,84.48446034,87.56,74,144381.0566,162826.1,122900.87,-0.148774272,0.127752517,roofs_top_kW,8760,134,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.965044856,0.965044856,0.965044856,0.965044856
Alameda_Arro,B1061,matched,295.1513336,278.2,278.2,711156.7744,476941.8,477821.96,-0.328106014,-0.329343659,roofs_top_kW,8760,486,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1062,matched,274.088129,282.58,274.09,621744.2567,435853.3,437989.62,-0.295546979,-0.29898299,roofs_top_kW,8760,442,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.918138504,0.918993932,0.846867323,0.989409685
Alameda_Arro,B1063,matched,486.5995144,501.92,486.6,1008312.023,639806.67,622165.34,-0.382963482,-0.365467578,roofs_top_kW,8760,803,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.944710016,0.939758749,0.908043861,0.981376171
Alameda_Arro,B1065,matched,186.9572232,188.44,186.96,381443.8475,317965.73,319431.14,-0.162573621,-0.166415366,roofs_top_kW,8760,311,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.840616226,0.840605876,0.681685984,0.999546468
Alameda_Arro,B1066,matched,119.9711185,122.27,119.97,214294.958,199813.62,203216.07,-0.051699247,-0.067576662,roofs_top_kW,8760,200,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.987994641,0.987578968,0.978413224,0.997576058
Alameda_Arro,B1067,matched,313.1247773,316.72,288.83,559256.7231,338013.58,318070.98,-0.431261231,-0.395602116,roofs_top_kW,8760,519,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.670631538,0.596884144,0.445613533,0.92536515
Alameda_Arro,B1081,matched,291.6685158,298.98,289.21,645786.3034,482080.56,472769.4,-0.267916651,-0.253498321,roofs_top_kW,8760,473,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.978115797,0.977705664,0.958472967,0.997758627
Alameda_Arro,B1082,matched,125.7993892,119.79,119.79,188116.9694,186217.42,187601.58,-0.002739729,-0.010097704,roofs_top_kW,8760,208,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1084,matched,194.9249083,181.89,181.89,342876.6123,313029.07,313621.31,-0.08532312,-0.087050388,roofs_top_kW,8760,322,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1085,matched,158.6379666,159.27,159.27,212324.9726,257041.2,259098.93,0.220294188,0.21060277,roofs_top_kW,8760,258,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1087,matched,18.41445061,18.41,18.41,29849.91125,27673.17,28033.83,-0.060840424,-0.072922872,roofs_top_kW,8760,30,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1088,matched,124.4623683,127.53,126.66,260439.8906,217077.41,219395.57,-0.157596137,-0.166497077,roofs_top_kW,8760,207,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.77306056,0.77539346,0.571818888,0.974302232
Alameda_Arro,B1089,matched,212.127632,212.12,213.71,476878.8571,310209.33,332441.56,-0.30288048,-0.349500769,roofs_top_kW,8760,351,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.710071146,0.710071146,0.710071146,0.710071146
Alameda_Arro,B1090,matched,378.9292143,378.93,379.97,915358.3799,641130.42,651479.23,-0.288279602,-0.299585349,roofs_top_kW,8760,623,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.995097578,0.995097578,0.995097578,0.995097578
Alameda_Arro,B1091,matched,326.6367427,329.42,326.73,541344.5404,402387.49,362913.9,-0.329606428,-0.256688745,roofs_top_kW,8760,539,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.855482876,0.869701151,0.677063584,0.980607271
Alameda_Arro,B1092,matched,303.1632487,311.7,311.7,697275.1261,464038.38,485482.73,-0.303742939,-0.334497442,roofs_top_kW,8760,497,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1093,matched,216.2351755,221.55,216.24,418525.0168,359782.32,373261.38,-0.108150373,-0.140356477,roofs_top_kW,8760,355,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.544616481,0.513691905,0.424286962,0.753382802
Alameda_Arro,B1094,matched,235.9055368,239.81,235.88,620845.3314,446910.09,408599.16,-0.341866421,-0.280158733,roofs_top_kW,8760,388,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.856730163,0.856730163,0.856730163,0.856730163
Alameda_Arro,B1096,matched,160.9204208,160.87,165.05,324382.4607,252136.74,259922.08,-0.19871722,-0.222717716,roofs_top_kW,8760,265,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.928965032,0.928965032,0.928965032,0.928965032
Alameda_Arro,B1097,matched,71.45011137,71.47,71.47,128889.32,118537.49,118662.44,-0.079346217,-0.080315654,roofs_top_kW,8760,116,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1098,matched,183.4378074,186.61,183.43,462850.2506,327553.36,318186.74,-0.312549276,-0.29231245,roofs_top_kW,8760,302,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.830959499,0.831277292,0.814439058,0.847479939
Alameda_Arro,B1099,matched,195.2812141,201.38,195.28,488501.7929,335875.64,330287.88,-0.323875808,-0.312437242,roofs_top_kW,8760,322,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.854821742,0.85572379,0.811249137,0.898394346
Alameda_Arro,B1100,matched,186.6787417,189.61,186.68,411820.3115,316845.71,324004.46,-0.213238272,-0.23062146,roofs_top_kW,8760,308,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.776001682,0.692262145,0.444010049,0.999374449
Alameda_Arro,B1101,matched,426.8523178,426.7,425.18,820456.2657,736373.37,736043.74,-0.102884857,-0.102483093,roofs_top_kW,8760,703,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.85071516,0.85071516,0.85071516,0.85071516
