area_id,building_name,status,validation_area_m2,ucea_roofs_top_m2,workflow0_roofs_top_m2,validation_radiation_kwh_year,ucea_radiation_kwh_year,workflow0_radiation_kwh_year,error_cea,error_cea_oven,workflow0_source_column,workflow0_timesteps,validation_point_count,residential_source,use_type1,use_type2,use_type3,resi_type,ucea_source_column,ucea_timesteps,ucea_oven_confidence_face_count,ucea_oven_confidence_mean,ucea_oven_confidence_area_weighted_mean,ucea_oven_confidence_min,ucea_oven_confidence_max
Alta_Lisboa,B1003,matched,316.6359634,320.23,316.6,722452.6962,518469,506833.9,-0.298453861,-0.282348861,roofs_top_kW,8760,522,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.694010139,0.633941413,0.448945045,0.934213877
Alta_Lisboa,B1005,matched,3044.282509,3044.94,3044.94,6461016.035,5279842.17,5278975.14,-0.182949692,-0.182815498,roofs_top_kW,8760,5021,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1006,matched,1104.217199,1069.06,1069.06,2151885.359,1636518.37,1637562.17,-0.239010497,-0.23949556,roofs_top_kW,8760,1818,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1015,matched,183.5257582,186.33,185.7,382455.3326,316170.54,320501.35,-0.161990113,-0.173313815,roofs_top_kW,8760,301,cea,SINGLE_RES,NONE,NONE,,roofs_top_kW,8760,2,0.683004916,0.683466888,0.677504063,0.688505769
Alta_Lisboa,B1016,matched,515.4783622,515.67,515.67,1041488.901,880874.46,881577.97,-0.153540697,-0.154216181,roofs_top_kW,8760,850,cea,SINGLE_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1017,matched,170.5203313,174.33,174.33,365252.9221,295641.58,295903.55,-0.189866714,-0.190583943,roofs_top_kW,8760,282,cea,SINGLE_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1020,matched,4380.109526,4380.24,4380.24,10438925.58,7527267.3,7528021.74,-0.278850904,-0.278923176,roofs_top_kW,8760,7217,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1022,matched,417.3871286,417.39,417.39,1014674.486,583640.08,581515.32,-0.426894705,-0.424800674,roofs_top_kW,8760,687,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1026,matched,1667.570679,1610.04,1610.04,3759624.089,2790138.37,2790202.25,-0.257850736,-0.257867727,roofs_top_kW,8760,2750,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1031,matched,741.4124896,741.41,741.41,1449804.29,1286705.55,1286280.17,-0.112790479,-0.112497074,roofs_top_kW,8760,1215,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1033,matched,378.389957,378.39,378.38,951905.7438,604449.25,620533.61,-0.348114439,-0.365011448,roofs_top_kW,8760,622,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.989009082,0.989009082,0.989009082,0.989009082
Alta_Lisboa,B1034,matched,694.934144,677.84,677.84,1432575.849,1076775.03,1076818.63,-0.24833395,-0.248364384,roofs_top_kW,8760,1148,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1035,matched,735.2452728,735.19,732.46,1445044.537,1269531.96,1271310.78,-0.120227268,-0.121458247,roofs_top_kW,8760,1215,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.992156267,0.992156267,0.992156267,0.992156267
Alta_Lisboa,B1037,matched,483.6007363,474.2,474.2,1096379.781,748999.57,751955.36,-0.314147002,-0.316842956,roofs_top_kW,8760,799,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1038,matched,503.4881675,503.36,491.6,1165644.121,874399.01,853052.61,-0.268170623,-0.249857658,roofs_top_kW,8760,829,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.997157335,0.997157335,0.997157335,0.997157335
Alta_Lisboa,B1039,matched,554.5082921,559.37,559.37,1269227.793,971190.27,971713.67,-0.234405616,-0.234817993,roofs_top_kW,8760,912,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1040,matched,409.852579,430.84,430.84,934826.5554,670144.45,669498.83,-0.283825619,-0.283134988,roofs_top_kW,8760,675,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1041,matched,247.225617,247.22,247.22,516489.6829,397324.46,397802.27,-0.22979629,-0.2307214,roofs_top_kW,8760,407,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1042,matched,453.1646137,453.16,453.16,1100404.879,772873.03,774688.49,-0.29599686,-0.297646671,roofs_top_kW,8760,748,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alta_Lisboa,B1043,matched,370.4728737,378.92,370.47,806421.4786,585609.99,583783.64,-0.276081236,-0.273816477,roofs_top_kW,8760,608,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.790474772,0.801285875,0.719028652,0.861920893
Alta_Lisboa,B1044,matched,236.5339895,240.08,236.53,559592.7028,367147.79,365063.89,-0.347625714,-0.343901755,roofs_top_kW,8760,391,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.852243811,0.852149742,0.733974934,0.970512688
Alta_Lisboa,B1045,matched,366.5435177,353.95,366.54,890316.3002,552144.83,559612.59,-0.371445193,-0.379832954,roofs_top_kW,8760,602,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.631044408,0.610491799,0.484306157,0.907875419
